pmi	raw_freq	raw_co	cw
-0.26987627	14131	11	giant/j
2.4438446	4540	52	ginger/n
-0.9922225	121885	46	girl/n
-0.27880716	415606	321	give/v
2.1911037	875	8	glacial/j
0.5346224	55696	97	glass/n
-1.327235	3698	1	glorious/j
-0.31953168	1257279	930	go/v
-0.87046725	106070	45	god/n
1.3792583	260	1	goeth/v
0.88820887	22208	55	golden/j
-0.26198754	388222	304	good/j
2.4356918	18067	211	good/n
0.29129857	5163	7	gorgeous/j
-1.9031214	209896	32	government/n
1.1877669	298	1	graded/j
0.70313144	8238	17	gram/n
2.975478	405	8	granular/j
-0.83980435	6791	3	grasp/v
2.9143686	19566	369	grass/n
-0.114824615	9897	9	grave/n
2.1359837	2653	23	graze/v
-0.34173325	245785	178	great/j
0.5845925	7645	14	greek/j
1.0714539	25617	76	green/n
1.9716804	10091	74	grocery/n
1.5244343	81610	382	ground/n
0.5394889	119789	210	grow/v
-0.06105564	29104	28	growing/j
-0.2926269	55136	42	growth/n
0.9045319	396	1	grubby/j
3.035689	940	20	gully/n
1.6308903	4032	21	gum/n
-1.1180309	129752	43	guy/n
1.919402	10895	76	habitat/n
1.7207674	77021	440	hair/n
0.9905135	1452	4	halfway/j
0.84012073	6336	15	halfway/r
2.8230603	59	1	hammacher/n
0.52639925	242465	419	hand/n
0.89980793	10732	27	handful/n
-1.0426872	200342	72	happen/v
0.35072333	95157	138	hard/j
0.4445963	55267	88	hard/r
1.3180304	2364	9	harden/v
1.4875927	1990	9	hardwood/n
1.3104197	8707	33	harsh/j
1.7331223	5532	32	harvest/v
0.5373852	1714	3	hasten/v
-0.24395086	20013	16	hat/n
1.3230385	522	2	hauler/n
-0.38087583	5344049	3731	have/v
1.6276463	3712	19	hay/n
2.5713603	151	2	hayman/n
-0.39726672	3138754	2156	he/p
0.08135012	173708	192	head/n
0.0073484993	45704	47	head/v
-0.23311295	4940	4	healing/n
-0.47566676	213229	135	hear/v
0.1552398	92241	110	heart/n
2.0599759	46359	372	heat/n
1.8419194	7449	48	heat/v
1.13776	42380	135	heavy/j
1.7908688	1145	7	hectare/n
0.36582193	19145	28	height/n
-0.3086783	29657	22	hell/n
-0.5214191	47860	29	help/n
-0.14874463	236233	208	help/v
-0.3445679	1389	1	henri/n
-0.354032	433952	311	her/p
1.4067568	1918	8	herbal/j
-0.33322865	449890	328	here/r
0.16944784	7455	9	hidden/j
-0.3692531	33990	24	hide/v
0.5998198	279904	520	high/j
-0.87562567	4712	2	highlight/n
0.5009205	54731	92	hill/n
-0.45089042	730667	475	him/p
0.11336041	80617	92	hit/v
-0.047157384	191085	186	hold/v
1.4160126	34956	147	hole/n
1.5570518	2686	13	hollow/j
-0.32693726	186049	137	home/n
1.7371036	343	2	hominid/n
0.18378958	7333	9	hook/v
-0.7947392	88906	41	hope/v
1.5604204	3702	18	hose/n
2.4410021	60103	703	hot/j
0.46132287	151850	246	hour/n
-0.2773094	263868	204	house/n
-0.6638843	592690	311	how/r
-0.22848833	150984	123	however/r
-0.21383393	1215	1	howie/n
-0.9331961	109360	44	human/j
0.64303976	514	1	humbling/j
2.3244655	10643	111	humor/n
-0.12824784	1114	1	hunch/n
0.62869704	10469	20	hungry/j
-0.2033075	37315	31	hurt/v
2.6817534	402	6	hydrant/n
0.02019937	970	1	hz/n
-0.50158703	4456489	2747	i/p
2.1833124	35160	318	ice/n
1.8482779	3547	23	icy/j
-0.7956014	78221	36	image/n
-0.30302864	47664	36	imagine/v
-0.7366653	49070	24	impact/n
-1.5195082	17862	4	implement/v
-1.0057131	10717	4	implementation/n
-0.67675465	155732	81	important/j
-0.64257735	44664	24	improve/v
0.020010285	7575199	7897	in/i
-0.1634761	310213	269	in/r
1.1242099	32198	100	inch/n
0.24900891	14484	19	incorporate/v
0.82237756	2151	5	indefinitely/r
-0.4279537	21033	14	india/n
-0.86208826	9257	4	indication/n
1.294393	4033	15	indoor/j
-0.40817598	20613	14	industrial/j
2.0834177	486	4	infertile/j
0.4645655	616	1	infestation/n
-1.364325	30638	8	influence/n
3.4811206	14702	485	ingredient/n
2.8902004	5071	93	ink/n
0.02468659	14320	15	inner/j
0.60828996	44776	84	inside/i
1.4790549	7585	34	inside/n
1.0834653	33544	101	inside/r
1.3961868	242	1	insincere/j
-0.00455446	43158	44	instead/r
-0.51998305	27980	17	instruction/n
1.4010605	8942	37	interior/n
1.2541553	557	2	interminable/j
-1.7992641	88808	15	international/j
0.561466	724134	1297	into/i
-0.5506019	33960	20	introduce/v
3.653587	607	24	irrigate/v
2.726595	3001	47	irrigation/n
2.3244011	675	7	irritated/j
0.41462427	52431	81	island/n
0.05966931	4210852	4557	it/p
3.5413473	454	16	itchy/j
-0.31857973	75377	56	itself/p
1.1408379	1252	4	jab/v
